Date,Adj Close
6/28/2010,3.84
7/5/2010,3.48
7/12/2010,4.128
7/19/2010,4.258
7/26/2010,3.988
8/2/2010,3.918
8/9/2010,3.664
8/16/2010,3.82
8/23/2010,3.94
8/30/2010,4.21
9/6/2010,4.034
9/13/2010,4.046
9/20/2010,4.02
9/27/2010,4.12
10/4/2010,4.086
10/11/2010,4.108
10/18/2010,4.144
10/25/2010,4.368
11/1/2010,4.888
11/8/2010,5.968
11/15/2010,6.198
11/22/2010,7.064
11/29/2010,6.298
12/6/2010,6.304
12/13/2010,6.272
12/20/2010,6.018
12/27/2010,5.326
1/3/2011,5.648
1/10/2011,5.15
1/17/2011,4.608
1/24/2011,4.802
1/31/2011,4.692
2/7/2011,4.65
2/14/2011,4.636
2/21/2011,4.722
2/28/2011,4.99
3/7/2011,4.814
3/14/2011,4.592
3/21/2011,4.55
3/28/2011,5.332
4/4/2011,5.298
4/11/2011,5.116
4/18/2011,5.348
4/25/2011,5.52
5/2/2011,5.424
5/9/2011,5.51
5/16/2011,5.594
5/23/2011,5.91
5/30/2011,6.026
6/6/2011,5.572
6/13/2011,5.3
6/20/2011,5.514
6/27/2011,5.804
7/4/2011,5.762
7/11/2011,5.516
7/18/2011,5.858
7/25/2011,5.634
8/1/2011,4.848
8/8/2011,5.262
8/15/2011,4.46
8/22/2011,4.746
8/29/2011,4.614
9/5/2011,4.594
9/12/2011,5.16
9/19/2011,5.276
9/26/2011,4.878
10/3/2011,5.398
10/10/2011,5.61
10/17/2011,5.606
10/24/2011,5.974
10/31/2011,6.462
11/7/2011,6.728
11/14/2011,6.52
11/21/2011,6.332
11/28/2011,6.66
12/5/2011,6.208
12/12/2011,5.6
12/19/2011,5.58
12/26/2011,5.712
1/2/2012,5.382
1/9/2012,4.558
1/16/2012,5.32
1/23/2012,5.866
1/30/2012,6.23
2/6/2012,6.22
2/13/2012,6.994
2/20/2012,6.75
2/27/2012,6.808
3/5/2012,6.948
3/12/2012,7.064
3/19/2012,6.816
3/26/2012,7.448
4/2/2012,6.896
4/9/2012,6.718
4/16/2012,6.632
4/23/2012,6.668
4/30/2012,6.366
5/7/2012,6.45
5/14/2012,5.512
5/21/2012,5.962
5/28/2012,5.63
6/4/2012,6.016
6/11/2012,5.982
6/18/2012,6.758
6/25/2012,6.258
7/2/2012,6.198
7/9/2012,6.85
7/16/2012,6.358
7/23/2012,5.902
7/30/2012,5.454
8/6/2012,5.988
8/13/2012,6.002
8/20/2012,5.9
8/27/2012,5.704
9/3/2012,5.87
9/10/2012,6.078
9/17/2012,6.004
9/24/2012,5.856
10/1/2012,5.778
10/8/2012,5.528
10/15/2012,5.548
10/22/2012,5.476
10/29/2012,5.784
11/5/2012,6.064
11/12/2012,6.368
11/19/2012,6.426
11/26/2012,6.764
12/3/2012,6.834
12/10/2012,6.762
12/17/2012,6.8
12/24/2012,6.644
12/31/2012,6.88
1/7/2013,6.582
1/14/2013,6.904
1/21/2013,7.396
1/28/2013,7.66
2/4/2013,7.848
2/11/2013,7.408
2/18/2013,7.222
2/25/2013,6.93
3/4/2013,7.694
3/11/2013,7.058
3/18/2013,7.324
3/25/2013,7.578
4/1/2013,8.274
4/8/2013,8.75
4/15/2013,9.566
4/22/2013,10.24
4/29/2013,10.91
5/6/2013,15.352
5/13/2013,18.299999
5/20/2013,19.416
5/27/2013,19.552
6/3/2013,20.408001
6/10/2013,20.059999
6/17/2013,19.91
6/24/2013,21.472
7/1/2013,24.018
7/8/2013,25.98
7/15/2013,23.936001
7/22/2013,25.878
7/29/2013,27.6
8/5/2013,30.6
8/12/2013,28.4
8/19/2013,32.368
8/26/2013,33.799999
9/2/2013,33.394001
9/9/2013,33.108002
9/16/2013,36.678001
9/23/2013,38.18
9/30/2013,36.195999
10/7/2013,35.740002
10/14/2013,36.68
10/21/2013,33.931999
10/28/2013,32.433998
11/4/2013,27.59
11/11/2013,27.09
11/18/2013,24.275999
11/25/2013,25.455999
12/2/2013,27.472
12/9/2013,29.530001
12/16/2013,28.648001
12/23/2013,30.224001
12/30/2013,29.912001
1/6/2014,29.143999
1/13/2014,34.001999
1/20/2014,34.919998
1/27/2014,36.282001
2/3/2014,37.306
2/10/2014,39.646
2/17/2014,41.919998
2/24/2014,48.962002
3/3/2014,49.242001
3/10/2014,46.194
3/17/2014,45.778
3/24/2014,42.473999
3/31/2014,42.445999
4/7/2014,40.756001
4/14/2014,39.624001
4/21/2014,39.970001
4/28/2014,42.181999
5/5/2014,36.452
5/12/2014,38.312
5/19/2014,41.459999
5/26/2014,41.554001
6/2/2014,41.633999
6/9/2014,41.284
6/16/2014,45.917999
6/23/2014,47.812
6/30/2014,45.849998
7/7/2014,43.625999
7/14/2014,44.004002
7/21/2014,44.714001
7/28/2014,46.653999
8/4/2014,49.625999
8/11/2014,52.402
8/18/2014,51.355999
8/25/2014,53.939999
9/1/2014,55.478001
9/8/2014,55.84
9/15/2014,51.863998
9/22/2014,49.32
9/29/2014,51.042
10/6/2014,47.382
10/13/2014,45.495998
10/20/2014,47.048
10/27/2014,48.34
11/3/2014,48.040001
11/10/2014,51.736
11/17/2014,48.556
11/24/2014,48.903999
12/1/2014,44.742001
12/8/2014,41.400002
12/15/2014,43.858002
12/22/2014,45.563999
12/29/2014,43.862
1/5/2015,41.332001
1/12/2015,38.613998
1/19/2015,40.257999
1/26/2015,40.720001
2/2/2015,43.472
2/9/2015,40.754002
2/16/2015,43.422001
2/23/2015,40.667999
3/2/2015,38.776001
3/9/2015,37.736
3/16/2015,39.616001
3/23/2015,37
3/30/2015,38.200001
4/6/2015,42.18
4/13/2015,41.358002
4/20/2015,43.686001
4/27/2015,45.206001
5/4/2015,47.321999
5/11/2015,49.768002
5/18/2015,49.546001
5/25/2015,50.16
6/1/2015,49.827999
6/8/2015,50.138
6/15/2015,52.501999
6/22/2015,53.417999
6/29/2015,56.004002
7/6/2015,51.830002
7/13/2015,54.931999
7/20/2015,53.082001
7/27/2015,53.23
8/3/2015,48.501999
8/10/2015,48.630001
8/17/2015,46.153999
8/24/2015,49.695999
8/31/2015,48.386002
9/7/2015,50.048
9/14/2015,52.124001
9/21/2015,51.382
9/28/2015,49.514
10/5/2015,44.138
10/12/2015,45.402
10/19/2015,41.818001
10/26/2015,41.386002
11/2/2015,46.472
11/9/2015,41.438
11/16/2015,44.001999
11/23/2015,46.321999
11/30/2015,46.076
12/7/2015,43.403999
12/14/2015,46.091999
12/21/2015,46.113998
12/28/2015,48.001999
1/4/2016,42.200001
1/11/2016,40.998001
1/18/2016,40.509998
1/25/2016,38.240002
2/1/2016,32.52
2/8/2016,30.208
2/15/2016,33.316002
2/22/2016,38.068001
2/29/2016,40.208
3/7/2016,41.5
3/14/2016,46.548
3/21/2016,45.549999
3/28/2016,47.518002
4/4/2016,50.014
4/11/2016,50.902
4/18/2016,50.75
4/25/2016,48.152
5/2/2016,42.986
5/9/2016,41.521999
5/16/2016,44.056
5/23/2016,44.608002
5/30/2016,43.798
6/6/2016,43.757999
6/13/2016,43.094002
6/20/2016,38.630001
6/27/2016,43.299999
7/4/2016,43.355999
7/11/2016,44.080002
7/18/2016,44.453999
7/25/2016,46.958
8/1/2016,46.006001
8/8/2016,45.122002
8/15/2016,45
8/22/2016,43.998001
8/29/2016,39.556
9/5/2016,38.894001
9/12/2016,41.080002
9/19/2016,41.490002
9/26/2016,40.806
10/3/2016,39.321999
10/10/2016,39.301998
10/17/2016,40.018002
10/24/2016,39.993999
10/31/2016,38.112
11/7/2016,37.712002
11/14/2016,37.004002
11/21/2016,39.330002
11/28/2016,36.293999
12/5/2016,38.436001
12/12/2016,40.498001
12/19/2016,42.667999
12/26/2016,42.737999
1/2/2017,45.801998
1/9/2017,47.549999
1/16/2017,48.945999
1/23/2017,50.59
1/30/2017,50.265999
2/6/2017,53.846001
2/13/2017,54.445999
2/20/2017,51.400002
2/27/2017,50.313999
3/6/2017,48.737999
3/13/2017,52.299999
3/20/2017,52.632
3/27/2017,55.66
4/3/2017,60.507999
4/10/2017,60.799999
4/17/2017,61.119999
4/24/2017,62.813999
5/1/2017,61.669998
5/8/2017,64.961998
5/15/2017,62.166
5/22/2017,65.028
5/29/2017,67.970001
6/5/2017,71.463997
6/12/2017,74.279999
6/19/2017,76.690002
6/26/2017,72.321999
7/3/2017,62.644001
7/10/2017,65.556
7/17/2017,65.68
7/24/2017,67.014
7/31/2017,71.382004
8/7/2017,71.573997
8/14/2017,69.491997
8/21/2017,69.610001
8/28/2017,71.080002
9/4/2017,68.68
9/11/2017,75.961998
9/18/2017,70.218002
9/25/2017,68.220001
10/2/2017,71.375999
10/9/2017,71.113998
10/16/2017,69.019997
10/23/2017,64.174004
10/30/2017,61.217999
11/6/2017,60.598
11/13/2017,63.009998
11/20/2017,63.110001
11/27/2017,61.306
12/4/2017,63.026001
12/11/2017,68.690002
12/18/2017,65.040001
12/25/2017,62.27
1/1/2018,63.316002
1/8/2018,67.244003
1/15/2018,70.003998
1/22/2018,68.57
1/29/2018,68.75
2/5/2018,62.084
2/12/2018,67.098
2/19/2018,70.410004
2/26/2018,67.024002
3/5/2018,65.433998
3/12/2018,64.269997
3/19/2018,60.307999
3/26/2018,53.226002
4/2/2018,59.860001
4/9/2018,60.068001
4/16/2018,58.048
4/23/2018,58.816002
4/30/2018,58.818001
5/7/2018,60.212002
5/14/2018,55.363998
5/21/2018,55.77
5/28/2018,58.363998
6/4/2018,63.532001
6/11/2018,71.634003
6/18/2018,66.725998
6/25/2018,68.589996
7/2/2018,61.779999
7/9/2018,63.773998
7/16/2018,62.716
7/23/2018,59.436001
7/30/2018,69.634003
8/6/2018,71.098
8/13/2018,61.099998
8/20/2018,64.564003
8/27/2018,60.332001
9/3/2018,52.647999
9/10/2018,59.040001
9/17/2018,59.82
9/24/2018,52.953999
10/1/2018,52.389999
10/8/2018,51.756001
10/15/2018,52
10/22/2018,66.18
10/29/2018,69.281998
11/5/2018,70.101997
11/12/2018,70.862
11/19/2018,65.166
11/26/2018,70.096001
12/3/2018,71.594002
12/10/2018,73.141998
12/17/2018,63.953999
12/24/2018,66.774002
12/31/2018,63.537998
1/7/2019,69.452003
1/14/2019,60.452
1/21/2019,59.408001
1/28/2019,62.442001
2/4/2019,61.16
2/11/2019,61.576
2/18/2019,58.942001
2/25/2019,58.958
3/4/2019,56.827999
3/11/2019,55.085999
3/18/2019,52.905998
3/25/2019,55.972
4/1/2019,54.992001
4/8/2019,53.540001
4/15/2019,54.652
4/22/2019,47.028
4/29/2019,51.006001
5/6/2019,47.903999
5/13/2019,42.206001
5/20/2019,38.125999
5/27/2019,37.032001
6/3/2019,40.900002
6/10/2019,42.984001
6/17/2019,44.372002
6/24/2019,44.692001
7/1/2019,46.619999
7/8/2019,49.015999
7/15/2019,51.636002
7/22/2019,45.608002
7/29/2019,46.868
8/5/2019,47.001999
8/12/2019,43.987999
8/19/2019,42.279999
8/26/2019,45.122002
9/2/2019,45.490002
9/9/2019,49.040001
9/16/2019,48.124001
9/23/2019,48.425999
9/30/2019,46.285999
10/7/2019,49.577999
10/14/2019,51.389999
10/21/2019,65.625999
10/28/2019,62.661999
11/4/2019,67.428001
11/11/2019,70.433998
11/18/2019,66.608002
11/25/2019,65.987999
12/2/2019,67.178001
12/9/2019,71.678001
12/16/2019,81.117996
12/23/2019,86.075996
12/30/2019,88.601997
1/6/2020,95.629997
1/13/2020,102.099998
1/20/2020,112.963997
1/27/2020,130.113998
2/3/2020,149.613998
2/10/2020,160.005997
2/17/2020,180.199997
2/24/2020,133.598007
3/2/2020,140.695999
3/9/2020,109.323997
3/16/2020,85.505997
3/23/2020,102.872002
3/30/2020,96.001999
4/6/2020,114.599998
4/13/2020,150.778
4/20/2020,145.029999
4/27/2020,140.264008
5/4/2020,163.884003
5/11/2020,159.834
5/18/2020,163.376007
5/25/2020,167
6/1/2020,177.132004
6/8/2020,187.056
6/15/2020,200.179993
6/22/2020,191.947998
6/29/2020,241.731995
7/6/2020,308.929993
7/13/2020,300.167999
7/20/2020,283.399994
7/27/2020,286.152008
8/3/2020,290.541992
8/10/2020,330.141998
8/17/2020,409.996002
8/24/2020,442.679993
8/31/2020,418.320007
9/7/2020,372.720001
9/14/2020,442.149994
9/21/2020,407.339996
9/28/2020,415.089996
10/5/2020,434
10/12/2020,439.670013
10/19/2020,420.630005
10/26/2020,388.040009
11/2/2020,429.950012
11/9/2020,408.5
11/16/2020,489.609985
11/23/2020,585.76001
11/30/2020,599.039978
12/7/2020,609.98999
12/14/2020,695
12/21/2020,661.77002
12/28/2020,705.669983
1/4/2021,880.02002
1/11/2021,826.159973
1/18/2021,846.640015
1/25/2021,793.530029
2/1/2021,852.22998
2/8/2021,816.119995
2/15/2021,781.299988
2/22/2021,675.5
3/1/2021,597.950012
3/8/2021,693.72998
3/15/2021,654.869995
3/22/2021,618.710022
3/29/2021,661.75
4/5/2021,677.02002
4/12/2021,739.780029
4/19/2021,729.400024
4/26/2021,709.440002
5/3/2021,672.369995
5/10/2021,589.73999
5/17/2021,580.880005
5/24/2021,625.219971
5/31/2021,599.049988
6/7/2021,609.890015
6/14/2021,623.309998
6/21/2021,671.869995
6/28/2021,678.900024
7/5/2021,656.950012
7/12/2021,644.219971
7/19/2021,643.380005
7/26/2021,687.200012
8/2/2021,699.099976
8/9/2021,717.169983
8/16/2021,680.26001
8/23/2021,711.919983
8/30/2021,733.570007
9/6/2021,736.27002
9/13/2021,759.48999
9/20/2021,774.390015
9/27/2021,775.219971
10/4/2021,785.48999
10/11/2021,843.030029
10/18/2021,909.679993
10/25/2021,1114
11/1/2021,1222.089966
11/8/2021,1033.420044
11/15/2021,1137.060059
11/22/2021,1081.920044
11/29/2021,1014.969971
12/6/2021,1017.030029
12/13/2021,932.570007
12/20/2021,1067
12/27/2021,1056.780029
1/3/2022,1026.959961
1/10/2022,1049.609985
1/17/2022,943.900024
1/24/2022,846.349976
1/31/2022,923.320007
2/7/2022,860
,
,
,
,
,
